director_name,gross
Michael Tollin,71971376.0
Steve Beck,71947276.0
Dan Trachtenberg,71897215.0
Simon Wincer,71738839.0
Ron Underwood,71706195.0
Gil Junger,71598914.0
Andrés Muschietti,71588220.0
Sharon Maguire,71500556.0
Kevin Bray,71342970.0
Mike McCoy,70011073.0
Rian Johnson,69987942.0
Colin Higgins,69700000.0
Chris Noonan,69575649.0
Scott Stewart,69304706.0
Akiva Schaffer,68701106.0
Roman Polanski,68683523.0
Peter Howitt,68669436.0
Sidney Lumet,68314622.0
Richard Loncraine,68176655.0
John Schlesinger,68129572.0
David Wain,68032787.0
Nimród Antal,67989564.0
Mark Rosman,67678935.0
Neil LaBute,67287398.0
Sofia Coppola,67156366.0
Jessie Nelson,66555370.0
Jimmy Hayward,66287138.0
Terry Zwigoff,66258395.0
Angela Robinson,66098797.0
Gregory Jacobs,66009973.0
Dennis Iliadis,65443270.0
Hugh Hudson,65343194.0
Gina Prince-Bythewood,65207472.0
Jason Moore,64998368.0
Danny Leiner,64954539.0
Shekhar Kapur,64583631.0
Andrew Douglas,64255243.0
Peter Lepeniotis,64238770.0
Steven Zaillian,63924359.0
Jeff Wadlow,63642273.0
Andrey Konchalovskiy,63599176.0
Colin Strause,63168491.0
Chris Rock,63065789.0
Robert Altman,62931241.0
Mary Lambert,62686677.0
George Nolfi,62453315.0
Babak Najafi,62401264.0
Terrence Malick,62401175.0
Måns Mårlind,62321039.0
Tom Tykwer,62025370.0
Salim Akil,61692863.0
Andrew Fleming,61589249.0
Tom Hanks,61375788.0
Stephen Kay,61343136.0
Craig Gillespie,60696301.0
Steve McQueen,60668174.0
James Algar,60507228.0
Michael McCullers,60269340.0
Forest Whitaker,60033780.0
Mike Binder,59993021.0
Jonathan Dayton,59889948.0
Christopher Spencer,59696176.0
Mark Pellington,59591197.0
Jodie Foster,59485071.0
Brad Anderson,58918728.0
John Francis Daley,58879132.0
Ash Brannon,58867694.0
David Cronenberg,58792952.0
Bruce McCulloch,58576045.0
Jamie Blanks,58432773.0
Matthew O'Callaghan,58336565.0
Joseph L. Mankiewicz,57750000.0
Ericson Core,57544444.0
John Dahl,57472209.0
Michael Tiddes,57356166.0
Cal Brunker,57011847.0
David Hackl,56729973.0
David F. Sandberg,56536016.0
Geoffrey Sax,56518241.0
Thea Sharrock,56154094.0
Brett Leonard,56149000.0
Preston A. Whitmore II,56131602.0
Steve Box,56068547.0
Chris Butler,55994557.0
Gary Shore,55942830.0
Tommy Wirkola,55723779.0
Vincent Ward,55350897.0
Kevin Munroe,55315950.0
William Shatner,55210049.0
Michael Lehmann,55157862.0
Mark A.Z. Dippé,54967359.0
Fred Wolf,54800746.0
Nima Nourizadeh,54724272.0
James Watkins,54322273.0
Sean McNamara,54265404.0
Fede Alvarez,54239856.0
Luis Valdez,54215416.0
Peter Hedges,54213634.0
William Malone,54054105.0
Peter MacDonald,53715611.0
Anton Corbijn,53705048.0
Ted Demme,52937130.0
Sam Miller,52543632.0
Alejandro Agresti,52320979.0
Leigh Whannell,52200504.0
Ava DuVernay,52066000.0
Gillian Armstrong,51511989.0
John Wells,51389138.0
Denzel Washington,51304289.0
James Ivory,51192466.0
Cory Edwards,51053787.0
Garth Jennings,51019112.0
Stiles White,50820940.0
Sam Fell,50818750.0
Graham Annable,50807639.0
Alexander Witt,50740078.0
Tom McCarthy,50727556.0
R.J. Cutler,50461335.0
Darren Grant,50382128.0
Kevin Donovan,50189179.0
Jorge R. Gutiérrez,50150619.0
Rupert Wainwright,50041732.0
Will Finn,50026353.0
Geoff Murphy,50024083.0
