actor_1_name,gross
Patrick Macnee,68286000.0
Carmen Electra,67956980.0
Louis Jourdan,67900000.0
Charlyne Yi,67523385.0
Eddie Redmayne,67183560.0
Jamie Renée Smith,67155742.0
Scout Taylor-Compton,66907160.0
Sydney Pollack,66790248.0
Krista Allen,66466372.0
Cory Hardrict,66359959.0
Scoot McNairy,66239305.0
David Hyde Pierce,65060430.0
Shawna Waldron,65000000.0
Rhys Wakefield,64423650.0
Eddie Cahill,64371181.0
Robert Ri'chard,64097618.0
Michael Angarano,63962560.0
Kath Soucie,63624047.0
Arliss Howard,63411478.0
Paddy Considine,62636559.0
Amber Stevens West,62494975.0
Theo James,62321039.0
Julian Glover,62300000.0
James Corden,61720593.0
Corbin Bernsen,61595075.0
Hector Elizondo,61504403.0
Beverly D'Angelo,61400000.0
Alun Armstrong,61355436.0
Mark Gatiss,60988443.0
Ivana Milicevic,60720953.0
Kevin Zegers,60692045.0
Donald Faison,60638478.0
Charlotte Rampling,60614232.0
Mira Sorvino,60577600.0
Quincy Jones,60507228.0
Fann Wong,60470220.0
Blythe Danner,60443237.0
Chris Elliott,60008303.0
Bono,59992760.0
Shane Black,59735548.0
Roma Downey,59696176.0
Sayed Badreya,59617068.0
Vincent Pastore,59302634.0
Vanessa Redgrave,59151114.0
Joaquim de Almeida,59068786.0
James Babson,59035104.0
Alice Krige,58800000.0
Keisha Castle-Hughes,58390743.0
Antony Starr,58156435.0
Cassie Ventura,58006147.0
Illeana Douglas,57866996.0
Robert Pine,57859105.0
Drake Bell,57842808.0
John Cothran,57504069.0
Patton Oswalt,57484734.0
Jeffrey Jones,57294308.0
Xander Berkeley,56932305.0
Kurt Fuller,56816662.0
Keir Dullea,56715371.0
Corinna Harney,56607223.0
Roger Allam,56437947.0
Heather Locklear,56167398.0
Sam Claflin,56154094.0
Taran Killam,56127162.0
Dave Chappelle,55509415.0
Bernie Casey,55500000.0
Charles S. Dutton,55473600.0
Julia Ormond,55255636.0
Matt Walsh,55008959.0
Dax Flame,54724272.0
Jake Busey,54700065.0
Esai Morales,54520486.0
Óscar Jaenada,54257433.0
Lou Taylor Pucci,54239856.0
Manish Dayal,54235441.0
Craig Stark,54116191.0
Chelan Simmons,54098051.0
Matt Shively,53884821.0
Michiel Huisman,53267732.0
Fernanda Andrade,53245055.0
Mark Rylance,52792307.0
Olivier Martinez,52752475.0
Charlie McDermott,52722460.0
Michael Moore,52481794.0
Marshall Bell,52287414.0
Luke Bracey,51746151.0
Eric Mendenhall,51697449.0
Jensen Ackles,51527787.0
Brenda Song,51432423.0
Joe Don Baker,51185897.0
Honor Blackman,51100000.0
Rudy Youngblood,50859889.0
Emma Watson,50818750.0
Isaac Hempstead Wright,50807639.0
Ryan O'Neal,50800000.0
Lane Smith,50752337.0
Jenna Fischer,50306511.0
Kathleen Quinlan,50129186.0
Topol,50000000.0
Andrea Corr,49994804.0
Lilli Lavine,49968653.0
Jimmy Fallon,49454062.0
Kane Hodder,49449045.0
Zoë Kravitz,49447710.0
Tuesday Knight,49369900.0
Scott Porter,49134684.0
Demián Bichir,49061869.0
Jim Sturgess,48772779.0
Dania Ramirez,48114556.0
Danielle Kotch,48056940.0
Elizabeth McGovern,48043505.0
Seymour Cassel,47812413.0
Gena Rowlands,47806295.0
Billy Crudup,47800799.0
Andrew Fiscella,47680687.0
Ayelet Zurer,47379090.0
Johnny Cannizzaro,47034272.0
Tate Donovan,46975183.0
Edgar Arreola,46875468.0
Caroline Munro,46800000.0
Sarah Carter,46455802.0
Barry Watson,46363118.0
Craig Parker,45802315.0
Nate Parker,45684633.0
Richard E. Grant,45555988.0
Emma Bell,45530757.0
Lorraine Bracco,45500797.0
Noah Huntley,45063889.0
Peter Coyote,44989048.0
John Saxon,44793200.0
Oliver Hudson,44771061.0
Jack Palance,44726644.0
Bérénice Bejo,44667095.0
Morgan Saylor,44469602.0
Eugenio Derbez,44456509.0
Mia Sara,44450000.0
Laura Ramsey,44433033.0
Hal Holbrook,43848100.0
Henry Ian Cusick,43755615.0
Rita Moreno,43650000.0
Raoul Bova,43601508.0
Rami Malek,43568507.0
Cedric the Entertainer,43230407.0
Clayton Snyder,42672630.0
Paige Turco,42660000.0
Alyson Stoner,42385520.0
Shelley Duvall,42365600.0
Ian Somerhalder,42346686.0
Bolo Yeung,41908836.0
Sam Trammell,41797066.0
Kevin McNally,41309709.0
Armin Mueller-Stahl,41256277.0
Lauren German,41227069.0
Caleb Landry Jones,40990055.0
Jeffrey Combs,40846082.0
Sharon Small,40566655.0
Laura Harring,40534417.0
Gregory Smith,40507309.0
Frances Conroy,40418944.0
Jennifer Esposito,40363530.0
Ben Gazzara,40250028.0
Jessica Barden,40247512.0
Jim Meskimen,40218903.0
Jordana Brewster,40161748.0
Jennifer Freeman,40066497.0
Raymond Cruz,40048332.0
Essence Atkins,40041683.0
Fisher Stevens,39849547.0
Catherine Deneuve,39758027.0
Danny Huston,39568996.0
Frances Bavier,39552600.0
Vinessa Shaw,39514713.0
Bai Ling,39251128.0
Ashley Williams,39026186.0
Lois Smith,39025000.0
Teo Halm,38916903.0
James Wilcox,38543473.0
James Martin Kelly,38509342.0
Talulah Riley,38372662.0
Joan Rivers,38119483.0
Shô Kosugi,38105077.0
Brandon T. Jackson,37911876.0
Jordi Mollà,37734246.0
Emily Watson,37730566.0
Richard Lawson,37672350.0
Ivana Baquero,37623143.0
Amber Valletta,37486138.0
Ben Feldman,37445090.0
Tiago Riani,37432299.0
Bobby Lee,37371385.0
Hunter Parrish,37150328.0
Bianca Kajlich,37053924.0
Lisa Edelstein,37036404.0
Wilford Brimley,36875520.0
Peter Firth,36874745.0
Steven Anthony Lawrence,36830057.0
Blair Brown,36279230.0
Tina Turner,36200000.0
Richard Brooker,36200000.0
Charlie Rowe,36073232.0
Adam Arkin,36037909.0
Denis O'Hare,36020063.0
Gloria Grahame,36000000.0
Richard Burton,36000000.0
Brian Thompson,35927406.0
Noah Taylor,35811509.0
Lauren Cohan,35794166.0
Stephen Rea,35777645.0
Violante Placido,35596227.0
Taylor Negron,35541044.0
Jon Seda,35422828.0
Debra Messing,35228696.0
Nicki Aycox,35143332.0
Kathleen Turner,35023294.0
Joseph Cotten,34900000.0
Mako,34900000.0
Armando Riesco,34889970.0
Robert Davi,34667015.0
Matt Price,34580635.0
Tony Curran,34548559.0
Jim Gaffigan,34534524.0
Ben Davies,34522221.0
Omari Hardwick,34414510.0
Sarah Polley,34236941.0
John Kapelos,33927476.0
Jennifer Jason Leigh,33856141.0
Callum Rennie,33734415.0
Kirk Cameron,33451479.0
Sally Hawkins,33404871.0
Barack Obama,33349949.0
Melina Kanakaredes,33328051.0
Catherine Hicks,33244684.0
Mathieu Kassovitz,33201661.0
Tina Desai,33071558.0
Jeremy Shada,32774834.0
Judie Aronson,32600000.0
Pamela Reed,32598931.0
Lily Atkinson,32553210.0
Emilia Fox,32519322.0
Marc Blucas,32474855.0
Richard Cabral,32453345.0
Alexis Arquette,32368960.0
Françoise Yip,32333860.0
David Jason Perez,32230907.0
Sullivan Stapleton,32131483.0
Jeff Fahey,32101000.0
Brittany Daniel,32079854.0
William McNamara,32051917.0
Marisa Saks,32014289.0
Richard Burgi,32003620.0
Janet Leigh,32000000.0
Nat Wolff,31990064.0
Angie Dickinson,31899000.0
Sam Shepard,31704416.0
Jack Davenport,31585300.0
Shelley Hennig,31537320.0
Nicholas Gonzalez,31526393.0
Ari Graynor,31487293.0
Christian Clemenson,31471430.0
Gerry Bednob,31452765.0
Clifton Collins Jr.,31393188.0
Frances Fisher,31317933.0
Willie Garson,31286130.0
Robert Baker,31199215.0
Augustus Prew,31136950.0
Noah Bean,30993544.0
50 Cent,30981850.0
Eddie Cibrian,30977478.0
Sean Pertwee,30897167.0
Jack Reynor,30659817.0
Sid Haig,30648144.0
Tika Sumpter,30513940.0
Blanchard Ryan,30500882.0
Austin Pendleton,30400000.0
Aaliyah,30307804.0
Christian Monzon,30222640.0
Shelley Conn,30212620.0
Jessie T. Usher,30127963.0
Cheryl Hines,30105968.0
Isaiah Washington,30079316.0
Fanny Ardant,30012990.0
Clu Gulager,30000000.0
Rick Yune,29986898.0
Jay Laga'aia,29975979.0
Rosie Perez,29781453.0
Lily Tomlin,29239123.0
David Keith,29200721.0
Josh Wingate,29136626.0
Daniel Mays,28995450.0
Harry Styles,28873374.0
Rip Torn,28718433.0
Kieran Culkin,28649826.0
Thomas F. Wilson,28603428.0
Jenny Agutter,28501605.0
Steve Irwin,28399192.0
Michael Smiley,28212088.0
Ken Arnold,28064226.0
Martin Starr,27947064.0
Zach Gilford,27845637.0
Jaime King,27834732.0
Caroline Dhavernas,27758465.0
Laila Haley,27736779.0
James Lafferty,27689474.0
Ruby Dee,27545445.0
Janet Jackson,27515786.0
Khandi Alexander,27332035.0
Sterling Jerins,27285953.0
Steven Mackintosh,27281507.0
William Holden,27200000.0
Hulk Hogan,26906039.0
Johnny Lewis,26876529.0
Craig Ferguson,26872749.0
Marley Shelton,26832953.0
Wood Harris,26803366.0
J.D. Evermore,26616999.0
Eoin Macken,26583369.0
Warren Beatty,26525834.0
Kim Director,26421314.0
Richard Wilson,26400000.0
Sierra McCormick,26161406.0
Elden Henson,26096584.0
America Ferrera,26091888.0
Sunny Mabrey,26082914.0
Curtis Armstrong,26057326.0
Mackenzie Davis,26049082.0
MyAnna Buring,26032205.0
James Kyson,25926543.0
Tyler James Williams,25771218.0
Justin Chon,25677097.0
Jessica Paré,25662242.0
James Nesbitt,25611458.0
Jere Burns,25590119.0
Kay Panabaker,25584685.0
Phil Vischer,25571351.0
Mike Epps,25482931.0
Dougray Scott,25472967.0
Elina Alminas,25440971.0
David Paymer,25436324.0
Ellar Coltrane,25359200.0
Lexie Contursi,25240988.0
Julian Richings,25239347.0
Malese Jow,25200412.0
Kevin Sussman,25077977.0
Farrah Fawcett,25000000.0
Nehemiah Persoff,25000000.0
Christine Taylor,24881000.0
Robert Shaw,24800000.0
Beth Grant,24755929.0
Peter Gallagher,24741700.0
Judith Chapman,24430272.0
Annabella Sciorra,24379028.0
Frank Whaley,24276500.0
Sonia Braga,24044532.0
Mara Wilson,24030538.0
Collette Wolfe,23993605.0
Alison Lohman,23847851.0
Alice Braga,23671374.0
Myrna Loy,23650000.0
Bill Bailey,23618786.0
Kasia Smutniak,23324666.0
Sasha Roiz,23219748.0
Hayden Christensen,22936528.0
Telly Savalas,22800000.0
Pfeifer Brown,22757819.0
Kevin Grevioux,22734486.0
Rainn Wilson,22526144.0
Joan Allen,22515286.0
Sissy Spacek,22495912.0
Kelsey Grammer,22452209.0
Gary Weeks,22331028.0
Carlos Ponce,22264487.0
Margaret Hamilton,22202612.0
Isaac Hayes,22201636.0
Lisa Wilcox,22168359.0
Max Minghella,22044645.0
Julian Morris,22016851.0
Aimee Garcia,21835784.0
Kurtwood Smith,21732190.0
Ricardo Darín,21388685.0
Elisabeth Harnois,21379315.0
David Zayas,21371425.0
Steven Bauer,21370057.0
Tiffany Helm,21300000.0
Mireille Enos,20999936.0
Mitch Pileggi,20981633.0
Erick Avari,20819129.0
Jeff Kober,20801344.0
Benjamin A. Onyango,20773070.0
John Beasley,20733485.0
Tony Nappo,20433940.0
Wendi McLendon-Covey,20339754.0
Bobbie Phillips,20302961.0
Sheryl Lee,20241395.0
John de Lancie,20210523.0
Ted Danson,20113965.0
Alona Tal,19692608.0
Fergie,19673424.0
Alden Ehrenreich,19445217.0
Pedro Armendáriz Jr.,19406406.0
Amanda Detmer,19351569.0
William Schallert,19281235.0
Philip Baker Hall,19206487.0
Nancy O'Dell,19184015.0
Chris Moss,19179969.0
William Hurt,19158074.0
Christina Milian,19118247.0
Betsy Palmer,19100000.0
Lew Temple,19067631.0
Caitlin Stasey,19059018.0
David Gant,18947630.0
Chris Zylka,18860403.0
Kelly Carlson,18843314.0
Roxanne McKee,18821279.0
Robert Clohessy,18600911.0
Tammin Sursok,18595716.0
Geoffrey Arend,18488314.0
John Gatins,18438149.0
